기업 이름,복지 카테고리,복지 혜택
'(주)커머스웨어'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '상해/실손 보험 지원', '불임부부 지원', '사내 병원', '무료 진료 지정 병원', '경조사 지원금', '직원 대출 지원', '명절 선물 및 귀향비 지원', '주택 지원 대출', '자녀 학자금 지원', '선택적 복리후생', '콘도 및 휴양시설 지원', '야간 교통비 지원', '인센티브 및 성과급', '생일 선물 지원', '장기근속자 금전포상', '연차 수당', '청년 내일 채움 공제 지원', '우수사원 금전포상', '퇴직연금 및 퇴직금', '리프레쉬/장기근속 휴가', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '사내 동호회 지원', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '도서구입비 지원', '기타 자기계발비 지원']"
,,
'비스텔(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '선택적 복리후생', '콘도 및 휴양시설 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '야간 교통비 지원', '우수사원 금전포상', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '생일 선물 지원', '리프레쉬/장기근속 휴가', '육아 휴직', '반차 및 시간제 연차 사용', '무료 간식 및 음료 제공', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
'엘에스산전(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['의료비 지원 (본인,가족)', '건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '체력단련비 지원', '불임부부 지원', '사내 병원', '무료 진료 지정 병원', '사택/기숙사 운영 및 지원', '경조사 지원금', '자녀 학자금 지원', '통신비 지원', '명절 선물 및 귀향비 지원', '주택 지원 대출', '선택적 복리후생', '콘도 및 휴양시설 지원', '직원 대출 지원', '자사 제품 직원 할인', '웰컴키트 지급', '임신/출산 선물', '기숙사 및 사택 운영', '통근버스 운행', '자율 및 탄력 근무 제도', '주차장 및 주차비 지원', '유류비 지원', '재택 근무제도', '야간 교통비 지원', '주 4일 / 주 4.5일 근무', '절반 근무 및 문화 데이', '인센티브 및 성과급', '퇴직연금 및 퇴직금', '연차 수당', '야근 및 휴일 특근 수당', '우리 사주 및 스톡옵션', '생일 선물 지원', '건강 관리 수당', '여름 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '리프레쉬/장기근속 휴가', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '어학 교육비 지원', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '멘토링 제도 운영']"
'이에이트(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '절반 근무 및 문화 데이', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '결혼/장례 등 경조사 휴가', '최고 성능 PC/노트북 지원']"
'톰슨로이터코리아(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '체력단련비 지원', '명절 선물 및 귀향비 지원', '주택 지원 대출', '경조사 지원금', '통신비 지원', '선택적 복리후생', '자사 제품 직원 할인', '콘도 및 휴양시설 지원', '웰컴키트 지급', '임신/출산 선물', '재택 근무제도', '야간 교통비 지원', '절반 근무 및 문화 데이', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '생일 선물 지원', '우수사원 금전포상', '장기근속자 금전포상', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '반차 및 시간제 연차 사용', '본인 출산 휴가', '여름 휴가', '건강검진 유급반차', '사내 동호회 지원', '무료 간식 및 음료 제공', '어학 교육비 지원']"
'(주)님블뉴런'의 복지,"['교통/출퇴근', '급여/보상', '연차/휴가', '교육/자기계발']","['주 4일 / 주 4.5일 근무', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '반차 및 시간제 연차 사용', '보건 휴가', '도서구입비 지원', '자격증 취득 지원']"
'(주)브이엠에스솔루션스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '상해/실손 보험 지원', '사택/기숙사 운영 및 지원', '경조사 지원금', '자녀 학자금 지원', '직원 대출 지원', '통신비 지원', '명절 선물 및 귀향비 지원', '선택적 복리후생', '콘도 및 휴양시설 지원', '유류비 지원', '기숙사 및 사택 운영', '인센티브 및 성과급', '우수사원 금전포상', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '창립 기념일 휴무', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '도서구입비 지원', '기타 자기계발비 지원', '본인 학자금 지원']"
'(주)아이아라'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['월세 지원', '명절 선물 및 귀향비 지원', '야간 교통비 지원', '퇴직연금 및 퇴직금', '연차 수당', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '무료 간식 및 음료 제공', '애완 동물 친화', '도서구입비 지원']"
'(주)연합뉴스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '상해/실손 보험 지원', '명절 선물 및 귀향비 지원', '주택 지원 대출', '콘도 및 휴양시설 지원', '경조사 지원금', '직원 대출 지원', '생일 3만원', '야간 교통비 지원', '유류비 지원', '재택 근무제도', '기숙사 및 사택 운영', '재택근무', '퇴직연금 및 퇴직금', '야근 및 휴일 특근 수당', '연차 수당', '인센티브 및 성과급', '우수사원 금전포상', '보건 휴가', '반차 및 시간제 연차 사용', '병가 (유급/무급)', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '육아 휴직', '창립 기념일 휴무', '구내 식당 및 카페테리아 운영', '수면실 및 휴게실 운영', '무료 간식 및 음료 제공', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원', '세미나 등']"
'(주)연합인포맥스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '상해/실손 보험 지원', '자녀 학자금 지원', '명절 선물 및 귀향비 지원', '주택 지원 대출', '경조사 지원금', '직원 대출 지원', '통신비 지원', '유류비 지원', '재택 근무제도', '우수사원 금전포상', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '연차 수당', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '병가 (유급/무급)', '여름 휴가', '보건 휴가', '창립 기념일 휴무', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '사내 동호회 지원', '안마실 및 안마 의자 운영', '스탠딩 책상 지원', '업무용 소프트 웨어 제공', '도서구입비 지원', '대학원, 유학 지원', '자격증 취득 지원', '본인 학자금 지원']"
'매그넘빈트(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '콘도 및 휴양시설 지원', '웰컴키트 지급', '경조사 지원금', '명절 선물 및 귀향비 지원', '임신/출산 선물', '야간 교통비 지원', '재택 근무제도', '기숙사 및 사택 운영', '10시 출근 (본사한정)', '퇴직연금 및 퇴직금', '생일 선물 지원', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '본인 출산 휴가', '결혼/장례 등 경조사 휴가', '육아 휴직', '임산부 단축근무', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '구내 식당 및 카페테리아 운영', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '루프탑 휴계공간', '도서구입비 지원', '멘토링 제도 운영']"
'(유)프리디소프트'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '통신비 지원', '야간 교통비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '주 2일 재택근무', '우수사원 금전포상', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '생일 선물 지원', '생일휴가', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '보건 휴가', '생일 휴가', '일퇴찬스 (월 1회, 오후반차)', '구내 식당 및 카페테리아 운영', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '사내 동호회 지원', '무료 간식 및 음료 제공', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
'(주)데이터메이커'의 복지,"['지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['명절 선물 및 귀향비 지원', '경조사 지원금', '웰컴키트 지급', '야간 교통비 지원', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '생일 선물 지원', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '우수사원 금전포상', '연차 수당', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '휴직 (유급/무급)', '여름 휴가', '보건 휴가', '전사적 리프레쉬 기간', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '사내 동호회 지원', '구내 식당 및 카페테리아 운영', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원']"
'(주)위버케어'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '웰컴키트 지급', '명절 선물 및 귀향비 지원', '최신장비 선택', '자율 및 탄력 근무 제도', '재택 근무제도', '야간 교통비 지원', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '육아 휴직', '임산부 단축근무', '반차 및 시간제 연차 사용', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '도서구입비 지원', '자격증 취득 지원']"
'(주)이노룰스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '콘도 및 휴양시설 지원', '절반 근무 및 문화 데이']"
'(주)큐피스트'의 복지,"['(주)큐피스트의 특별한 복지', '의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['9시~11시 사이 시차 출퇴근 제도', '직무 성장을 위한 도서 구매지원', '자유로운 연차 / 반차 사용', '간식, 음료가 가득한 스낵바', '팀 다이닝 외식 비용 지원', '교육 훈련비 지원', '장기근속 포상 휴가 및 휴가비 지원', '종합 건강검진 지원 및 유급휴가 제공', '구성원 생일 선물 제공', '기본 연차 별도로 여름휴가 3일 제공', '건강검진 지원 (본인/배우자)', '웰컴키트 지급', '명절 선물 및 귀향비 지원', '경조사 지원금', '자사 제품 직원 할인', '야간 교통비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '주차장 및 주차비 지원', '퇴직연금 및 퇴직금', '장기근속자 금전포상', '생일 선물 지원', '야근 및 휴일 특근 수당', '연차 수당', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '배우자 출산 휴가', '병가 (유급/무급)', '보건 휴가', '본인 출산 휴가', '리프레쉬/장기근속 휴가', '무료 간식 및 음료 제공', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '도서구입비 지원', '기타 자기계발비 지원', '어학 교육비 지원']"
'워터월시스템즈(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '웰컴키트 지급', '야간 교통비 지원', '유류비 지원', '재택 근무제도', '절반 근무 및 문화 데이', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '생일 선물 지원', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원']"
'잡플래닛'의 복지,"['잡플래닛의 특별한 복지', '의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['하프데이', '분 단위 시차출퇴근제', '여름휴가', '경조사비 지원', '건강검진 지원', '육아기 단축근로', '돌봄 휴가', '자기개발비 지원', '출산/육아 휴가', '단체 상해보험 가입', '건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '콘도 및 휴양시설 지원', '웰컴키트 지급', '경조사 지원금', '명절 선물 및 귀향비 지원', '생일 선물 지급', '재택 근무제도', '야간 교통비 지원', '자율 및 탄력 근무 제도', '주차장 및 주차비 지원', '유류비 지원', '주 4일 / 주 4.5일 근무', '절반 근무 및 문화 데이', '하프데이', '야근 및 휴일 특근 수당', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '위험 수당', '생일 선물 지원', 'PI/PS', '여름 휴가', '반차 및 시간제 연차 사용', '병가 (유급/무급)', '창립 기념일 휴무', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '리프레쉬/장기근속 휴가', '임산부 단축근무', '보건 휴가', '무료 간식 및 음료 제공', '안마실 및 안마 의자 운영', '최고 성능 PC/노트북 지원', '도서구입비 지원', '멘토링 제도 운영', '기타 자기계발비 지원', '자격증 취득 지원', '어학 교육비 지원', '컨퍼런스 개최 및 지원', '본인 학자금 지원']"
,,
,,
'(주)아이앤텍'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '경조사 지원금', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '야간 교통비 지원', '주차장 및 주차비 지원', '우수사원 금전포상', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '여름 휴가', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '반차 및 시간제 연차 사용', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원']"
'(주)엘앤케이플래넷'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['체력단련비 지원', '건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '경조사 지원금', '통신비 지원', '웰컴키트 지급', '절반 근무 및 문화 데이', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '인센티브 및 성과급', '생일 선물 지원', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '여름 휴가', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '업무용 소프트 웨어 제공', '도서구입비 지원', '자격증 취득 지원', '기타 자기계발비 지원', '본인 학자금 지원']"
'(주)인스테리어'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '명절 선물 및 귀향비 지원', '선택적 복리후생', '웰컴키트 지급', '자율 및 탄력 근무 제도', '재택 근무제도', '우수사원 금전포상', '퇴직연금 및 퇴직금', '연차 수당', '청년 내일 채움 공제 지원', '생일 선물 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '여름 휴가', '사내 동호회 지원', '도서구입비 지원', '컨퍼런스 개최 및 지원']"
'가비아씨엔에스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '무료 진료 지정 병원', '콘도 및 휴양시설 지원', '경조사 지원금', '선택적 복리후생', '통신비 지원', '명절 선물 및 귀향비 지원', '자사 제품 직원 할인', '주택 지원 대출', '임신/출산 선물', '통근버스 운행', '절반 근무 및 문화 데이', '주 4일 / 주 4.5일 근무', '자율 및 탄력 근무 제도', '야간 교통비 지원', '재택 근무제도', '주차장 및 주차비 지원', '생일 선물 지원', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '휴가비 지원', '반차 및 시간제 연차 사용', '육아 휴직', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '여름 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '임산부 단축근무', '휴직 (유급/무급)', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '구내 식당 및 카페테리아 운영', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원', '어학 교육비 지원', '멘토링 제도 운영', '온라인 교육', '온라인 강의 지원']"
,,
'케이스마텍(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '통신비 지원', '명절 선물 및 귀향비 지원', '경조사 지원금', '야간 교통비 지원', '유류비 지원', '주차장 및 주차비 지원', '재택 근무제도', '인센티브 및 성과급', '장기근속자 금전포상', '우수사원 금전포상', '생일 선물 지원', '반차 및 시간제 연차 사용', '리프레쉬/장기근속 휴가', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '도서구입비 지원', '컨퍼런스 개최 및 지원', '협력사 온라인 강좌 제공']"
'콩테크(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['응급세트', '코로나 검사 비용 지급', '명절 선물 및 귀향비 지원', '사택/기숙사 운영 및 지원', '생일선물 및 명절선물', '자율 및 탄력 근무 제도', '주차장 및 주차비 지원', '생일 선물 지원', '우수사원 금전포상', '휴가비 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '배우자 출산 휴가', '육아 휴직', '여름 휴가', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '기타 자기계발비 지원', '도서구입비 지원']"
,,
'(주)핏펫'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '무료 진료 지정 병원', '체력단련비 지원', '상해/실손 보험 지원', '불임부부 지원', '사내 병원', '강아지유치원', '반려동물 병원비 지원', '웰컴키트 지급', '자사 제품 직원 할인', '경조사 지원금', '명절 선물 및 귀향비 지원', '선택적 복리후생', '임신/출산 선물', '자율 및 탄력 근무 제도', '재택 근무제도', '야간 교통비 지원', '주차장 및 주차비 지원', '주 4일 / 주 4.5일 근무', '놀금제도', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '생일 선물 지원', '우수사원 금전포상', '장기근속자 금전포상', '우리 사주 및 스톡옵션', '연차 수당', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '휴직 (유급/무급)', '여름 휴가', '창립 기념일 휴무', '애완 동물 친화', '아침/점심/저녁식사 지원 제공', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
'(주)핑거랩스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '명절 선물 및 귀향비 지원', '선택적 복리후생', '웰컴키트 지급', '결혼지원', '야간 교통비 지원', '주차장 및 주차비 지원', '재택 근무제도', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '도서구입비 지원']"
'한국정보통신(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '경조사 지원금', '명절 선물 및 귀향비 지원', '자녀 학자금 지원', '콘도 및 휴양시설 지원', '야간 교통비 지원', '유류비 지원', '자율 및 탄력 근무 제도', '인센티브 및 성과급', '연차 수당', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '업무용 소프트 웨어 제공', '어학 교육비 지원', '도서구입비 지원', '기타 자기계발비 지원', '대학원, 유학 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원', '본인 학자금 지원', '멘토링 제도 운영']"
'한국통합민원센터(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '직장인 건강 검진 2년마다', '코로나 검사비 지원', '경조사 지원금', '명절 선물 및 귀향비 지원', '자녀 학자금 지원', '자율 및 탄력 근무 제도', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '우수사원 금전포상', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '연차 수당', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '여름 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '휴직 (유급/무급)', '육아 휴직', '반차 및 시간제 연차 사용', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '고급 사무용 의자 제공', '듀얼 모니터', '어학 교육비 지원', '기타 자기계발비 지원', '본인 학자금 지원']"
'(주)겟차'의 복지,"['교통/출퇴근', '급여/보상', '근무환경']","['차량 구매 지원금', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공']"
'(주)넷티어시스템즈'의 복지,"['지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['법인카드', '자율 및 탄력 근무 제도', '야간 교통비 지원', '주차장 및 주차비 지원', '유류비 지원', '퇴직연금 및 퇴직금', '여름 휴가', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '도서구입비 지원', '자격증 취득 지원']"
'(주)다우기술'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '동호회 지원비', '주택 지원 대출', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '경조사 지원금', '웰컴키트 지급', '선택적 복리후생', '자녀 학자금 지원', '직원 대출 지원', '통근버스 운행', '절반 근무 및 문화 데이', '자율 및 탄력 근무 제도', '주차장 및 주차비 지원', '재택 근무제도', '야간 교통비 지원', '인센티브 및 성과급', '연차 수당', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '생일 선물 지원', '야근 및 휴일 특근 수당', '우수사원 금전포상', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '배우자 출산 휴가', '리프레쉬/장기근속 휴가', '휴직 (유급/무급)', '육아 휴직', '여름 휴가', '본인 출산 휴가', '병가 (유급/무급)', '임산부 단축근무', '보건 휴가', '창립 기념일 휴무', '사내 동호회 지원', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '애완 동물 친화', '수면실 및 휴게실 운영', '도서구입비 지원', '멘토링 제도 운영', '어학 교육비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '대학원, 유학 지원', '컨퍼런스 개최 및 지원', '본인 학자금 지원']"
,,
'(주)오피지지'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '무료 심리 상담', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '재택 근무제도', '자율 및 탄력 근무 제도', '우수사원 금전포상', '생일 선물 지원', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '최고 성능 PC/노트북 지원', '어린이집 지원/운영', '사내 동호회 지원', '애완 동물 친화', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '도서구입비 지원', '어학 교육비 지원', '자격증 취득 지원']"
